id;name;state;type;betting_role_type;betting_role_amount;hour_active_active;hour_active_end;flg_active_lun;flg_active_mar;flg_active_mer;flg_active_gio;flg_active_ven;flg_active_sab;flg_active_dom;whats_app_number;user_account;password_account
1;tattered spry;ACTIVE;ONLINEBOT;FIXED_WIN;21953.56;15824;29851;true;true;false;true;false;true;false;point failing rehash;excluding discount optimistically;save
2;via everlasting;CLOSED;WHATSAPP;FIXED_WIN;18056.38;15209;24122;false;true;true;true;false;true;false;zowie;versus speedily;before yieldingly
3;switch;ACTIVE;WHATSAPP;FIXED_WIN;12321.71;25436;9914;false;false;true;false;false;true;true;abaft cautiously;opposite rudely;incidentally cesspool
4;whorl;CLOSED;WHATSAPP;FIXED_BET;12081.63;23959;11659;false;true;false;false;true;true;false;ha aha;potable instead;hock roughly considering
5;voluntarily meh gosh;INACTIVE;ONLINEBOT;FIXED_WIN;3847.86;32325;26262;true;true;true;false;true;false;false;onto general reliable;song after without;scornful
6;burn;CLOSED;ONLINEBOT;FIXED_WIN;4780.53;32127;9490;false;false;true;true;false;false;true;ugh;appetizer pish justly;where lentil
7;inside;ACTIVE;WHATSAPP;FIXED_BET;5070.84;27757;26464;false;false;true;true;true;true;true;trigger;experienced fingerling by;pleased quickly although
8;voluntarily who incidentally;ACTIVE;ONLINEBOT;FIXED_WIN;7229.1;14714;20278;false;false;true;true;false;false;true;quarrelsomely acidly sneaky;psst cane following;sleepily
9;curiously;ACTIVE;ONLINEBOT;FIXED_BET;563.02;6962;26472;false;true;false;true;true;false;true;as;uh-huh;irritate
10;but;CLOSED;ONLINEBOT;FIXED_BET;17848.57;20836;16111;false;true;true;false;false;false;false;mortise;cram;phew
